[' | ', 'Ui', 'L', 'Fi', 'Li', 'Di', 'R', 'D', 'U', 'yi', 'L', 'Fi', 'Li', ' | ', 'U2', 'Fi', 'U2', 'F', 'U2', 'Ri', 'Ui', 'R', ' | ', 'U2', 'Li', 'U2', 'L', 'U2', 'yi', 'Li', 'Ui', 'L', ' | ', 'R', 'U', 'Ri', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'U2', 'R', 'U', 'Ri', 'Ui', 'R', 'U', 'Ri', ' | ', ' | ', 'U', 'L', 'F', 'Ui', 'Fi', 'U', 'F', 'U2', 'Fi', 'Ui', 'Li', ' | ', 'Li', 'M', 'Ui', 'L', 'U', 'Mi', 'Ui', 'Li', 'U', 'L', 'Ui']
[' | ', 'F', 'Di', 'L', 'D', 'U2', 'R2', 'U2', 'yi', 'L2', 'U', 'F2', ' | ', 'Fi', 'Ui', 'F', 'U2', 'y', 'Ri', 'U', 'R', ' | ', 'U2', 'Fi', 'U', 'F', 'U2', 'F', 'Ui', 'Fi', ' | ', 'L', 'Ui', 'Li', 'U', 'L', 'U', 'Li', ' | ', 'U2', 'Fi', 'Ui', 'F', 'U', 'Fi', 'Ui', 'F', ' | ', ' | ', 'L', 'U2', 'Li', 'Ui', 'L', 'Ui', 'L2', 'U2', 'L', 'U', 'Li', 'U', 'L', ' | ', 'U', 'L', 'U', 'L', 'Fi', 'Li', 'F', 'Ui', 'Li', 'Ri', 'Ui', 'Ri', 'F', 'R', 'Fi', 'U', 'R']
[' | ', 'Ui', 'F2', 'L', 'D2', 'Li', 'D2', 'yi', 'Li', 'U', 'F2', ' | ', 'Ui', 'L', 'Ui', 'Li', ' | ', 'U', 'Ri', 'Ui', 'R', ' | ', 'R', 'Ui', 'Ri', 'F', 'U', 'Fi', ' | ', 'U', 'Fi', 'U', 'F', 'U', 'Fi', 'Ui', 'F', ' | ', ' | ', 'Ui', 'Fi', 'L', 'F', 'U', 'L', 'Ui', 'F', 'U', 'Fi', 'Ui', 'Li', ' | ']
[' | ', 'Fi', 'R', 'U2', 'yi', 'L2', 'Fi', ' | ', 'Ui', 'R', 'U2', 'Ri', 'yi', 'L', 'Ui', 'Li', ' | ', 'Ri', 'U', 'R', ' | ', 'Li', 'U2', 'L', 'U2', 'Li', 'U', 'L', ' | ', 'Ui', 'Fi', 'U2', 'F', 'Ui', 'Fi', 'U', 'F', ' | ', ' | ', 'Ui', 'yi', 'L', 'F', 'U', 'Fi', 'Ui', 'Li', ' | ', 'U2', 'Mi', 'U', 'M', 'U', 'Mi', 'U2', 'Mi', 'U', 'Mi', 'U', 'M', 'U', 'Mi', 'U', 'Mi', 'U']
[' | ', 'L', 'D2', 'y', 'R', 'D2', 'Fi', 'y', 'R', 'F', 'U', 'F', 'Ri', 'Fi', ' | ', 'U2', 'Ri', 'U', 'R', 'Ui', 'yi', 'L', 'Ui', 'Li', ' | ', 'U2', 'Fi', 'Ui', 'F', 'Ui', 'Li', 'Ui', 'L', ' | ', 'U2', 'Ri', 'U2', 'R', 'R', 'U', 'Ri', ' | ', 'Ui', 'Ri', 'U', 'R', 'Ui', 'Ri', 'Ui', 'R', ' | ', ' | ', 'U', 'L', 'U2', 'Li', 'Ui', 'L', 'Ui', 'Li', ' | ', 'U', 'M2', 'Ui', 'Mi', 'U2', 'M', 'U', 'Mi', 'Ui', 'M', 'U2', 'M', 'U', 'M', 'U2']
[' | ', 'U2', 'F2', 'R', 'yi', 'Li', 'U2', 'F2', ' | ', 'U', 'yi', 'L', 'U', 'Li', 'U', 'L', 'Ui', 'Li', ' | ', 'Ui', 'Fi', 'U2', 'F', 'U', 'yi', 'L', 'Ui', 'Li', ' | ', 'Ri', 'Ui', 'R', ' | ', 'R', 'Ui', 'Ri', 'U', 'R', 'Ui', 'Ri', ' | ', ' | ', 'U', 'Fi', 'Ui', 'F', 'U', 'F', 'Ri', 'Fi', 'R', ' | ', 'Ui', 'Mi', 'Ui', 'Mi', 'U2', 'Mi', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'U', 'M2', 'Ui']
[' | ', 'U2', 'F2', 'Ui', 'R2', 'D', 'L', 'Di', 'D2', 'Ri', 'D2', ' | ', 'Ui', 'Li', 'U', 'L', 'U2', 'F', 'U', 'Fi', ' | ', 'U', 'R', 'U', 'Ri', ' | ', 'Ui', 'y', 'Ri', 'Ui', 'R', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'U', 'Fi', 'Ui', 'F', 'U2', 'R', 'Ui', 'Ri', ' | ', ' | ', 'U', 'Li', 'Ui', 'L', 'U', 'L', 'Fi', 'Li', 'F', ' | ', 'U2', 'Mi', 'U', 'M', 'U', 'Mi', 'U2', 'Mi', 'U', 'Mi', 'U', 'M', 'U', 'Mi', 'U', 'Mi']
[' | ', 'Ui', 'L', 'Fi', 'Li', 'D', 'yi', 'L', 'Di', 'D', 'Fi', 'Di', 'D2', 'y', 'Ri', 'D2', ' | ', 'U2', 'Fi', 'Ui', 'F', 'y', 'Ri', 'U', 'R', ' | ', 'U2', 'Fi', 'Ui', 'F', 'L', 'Ui', 'Li', ' | ', 'U2', 'Li', 'U', 'L', ' | ', 'U2', 'Fi', 'U', 'F', 'Ui', 'Fi', 'U', 'F', ' | ', ' | ', 'Ui', 'F', 'U', 'Fi', 'U', 'F', 'U', 'y', 'Ri', 'U', 'Li', 'Ui', 'R', ' | ', 'Mi', 'U', 'M', 'Ui', 'Mi', 'U', 'M', 'U', 'Mi', 'U2', 'M', 'Ui']
[' | ', 'F', 'U2', 'F', 'Ri', 'Fi', 'L', 'D', 'Li', 'Di', 'U2', 'L2', ' | ', 'F', 'U', 'Fi', 'Ui', 'F', 'U', 'Fi', ' | ', 'yi', 'Li', 'Ui', 'L', 'Ui', 'F', 'U', 'Fi', ' | ', 'U', 'yi', 'L', 'U', 'Li', 'U', 'F', 'Ui', 'Fi', ' | ', 'U2', 'y', 'Ri', 'U2', 'R', 'U2', 'Ri', 'U', 'R', ' | ', ' | ', 'Ui', 'Fi', 'L', 'F', 'U', 'L', 'Ui', 'F', 'U', 'Fi', 'Ui', 'Li', ' | ']
[' | ', 'Ui', 'F2', 'y', 'R', 'F', ' | ', 'U', 'F', 'U2', 'Fi', 'U', 'F', 'Ui', 'Fi', ' | ', 'U', 'Fi', 'U', 'F', ' | ', 'y', 'Ri', 'Ui', 'R', 'U', 'Ri', 'U', 'R', 'U2', 'Ri', 'U', 'R', ' | ', 'Fi', 'U2', 'F', 'Ui', 'Fi', 'Ui', 'F', ' | ', ' | ', 'U', 'Fi', 'Ui', 'F', 'U', 'F', 'Ri', 'Fi', 'R', ' | ', 'Ui', 'yi', 'L', 'F', 'U', 'Fi', 'Ui', 'L2', 'yi', 'Li', 'Ui', 'L', 'U', 'F', 'U2']
[' | ', 'Ui', 'L', 'Fi', 'Li', 'Di', 'Fi', 'D', 'yi', 'L2', 'U2', 'F2', ' | ', 'U2', 'R', 'U2', 'Ri', 'Ui', 'F', 'U', 'Fi', ' | ', 'U2', 'y', 'Ri', 'U', 'R', 'Ui', 'Li', 'Ui', 'L', ' | ', 'Ui', 'Fi', 'U2', 'F', 'Ui', 'R', 'U', 'Ri', ' | ', 'y', 'R', 'Ui', 'Ri', 'U', 'R', 'U', 'Ri', ' | ', ' | ', 'L', 'Fi', 'Li', 'F', 'U2', 'F', 'U2', 'Fi', ' | ']
[' | ', 'D', 'y', 'Ri', 'Di', 'F', 'Ri', 'Fi', 'R', 'y', 'Ri', 'Fi', ' | ', 'Ri', 'Ui', 'R', ' | ', 'Ui', 'R', 'Ui', 'Ri', 'U2', 'Li', 'Ui', 'L', ' | ', 'Ui', 'R', 'U', 'Ri', 'U2', 'R', 'Ui', 'Ri', ' | ', 'U2', 'L', 'U2', 'Li', 'U2', 'L', 'U', 'Li', ' | ', ' | ', 'y', 'R', 'U2', 'Ri', 'F', 'Ri', 'Fi', 'R', 'Ui', 'R', 'Ui', 'Ri', ' | ', 'Mi', 'Ui', 'Mi', 'U2', 'Mi', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'U', 'M2', 'U']
[' | ', 'yi', 'L', 'D2', 'Li', 'D2', 'F', 'D', 'L', 'Di', 'Ui', 'L2', 'U2', 'L', 'Fi', 'Li', ' | ', 'U2', 'R', 'U', 'Ri', 'U', 'Fi', 'Ui', 'F', ' | ', 'Li', 'Ui', 'L', 'Ui', 'yi', 'L', 'Ui', 'Li', ' | ', 'Ui', 'F', 'U2', 'Fi', 'Ui', 'F', 'U', 'Fi', ' | ', 'Ui', 'Fi', 'Ui', 'F', 'U2', 'R', 'Ui', 'Ri', ' | ', ' | ', 'U', 'Ri', 'F', 'R', 'U2', 'L2', 'yi', 'L', 'F', 'Li', 'F', ' | ']
[' | ', 'Ui', 'L', 'Fi', 'Li', 'Ui', 'F', 'Ri', 'Fi', 'L', 'D', 'Li', 'Di', 'D2', 'Ri', 'D2', ' | ', 'U', 'Ri', 'U2', 'R', 'Ui', 'Li', 'Ui', 'L', ' | ', 'Fi', 'U', 'F', 'L', 'U', 'Li', ' | ', 'U', 'R', 'U', 'Ri', ' | ', 'U', 'y', 'R', 'U2', 'Ri', 'U2', 'R', 'Ui', 'Ri', ' | ', ' | ', 'Ri', 'U', 'L', 'Ui', 'R', 'U', 'Li', ' | ', 'U', 'M', 'U', 'Mi', 'U2', 'M', 'U', 'Mi']
[' | ', 'L', 'D2', 'y', 'R', 'D2', 'F', 'Di', 'L', 'D', 'R2', 'D2', 'F', 'D2', ' | ', 'Ui', 'L', 'Ui', 'Li', 'U', 'L', 'U', 'Li', ' | ', 'U2', 'F', 'U2', 'Fi', 'R', 'Ui', 'Ri', ' | ', 'U', 'Li', 'Ui', 'L', ' | ', ' | ', 'L', 'U', 'Li', 'U', 'L', 'U2', 'Li', ' | ', 'U', 'Fi', 'M', 'Ui', 'F', 'U', 'Mi', 'Ui', 'Fi', 'U', 'F', 'U']
[' | ', 'y', 'R', 'D', 'F', 'Di', 'R', 'D', 'Ri', 'Di', 'D2', 'Li', 'D2', 'U2', 'y', 'R2', ' | ', 'Ui', 'F', 'U2', 'Fi', 'U2', 'y', 'Ri', 'Ui', 'R', ' | ', 'U2', 'Fi', 'U', 'F', ' | ', 'U2', 'L', 'U2', 'Li', 'U', 'y', 'Ri', 'Ui', 'R', ' | ', 'U', 'L', 'Ui', 'Li', 'U2', 'L', 'U', 'Li', ' | ', ' | ', 'Ui', 'F', 'R', 'U', 'Ri', 'Ui', 'Fi', ' | ']
[' | ', 'Ri', 'R', 'y', 'Ri', 'Fi', 'y', 'Ri', ' | ', 'R', 'U2', 'Ri', 'U', 'Ri', 'Ui', 'R', ' | ', 'U2', 'L', 'U', 'Li', ' | ', 'U2', 'F', 'U', 'Fi', 'U', 'R', 'Ui', 'Ri', ' | ', 'U', 'Li', 'Ui', 'L', 'Ui', 'Li', 'U', 'L', ' | ', ' | ', 'Ui', 'F', 'U', 'Fi', 'Ui', 'Fi', 'L', 'F', 'Li', ' | ']
[' | ', 'U', 'F2', 'D2', 'L', 'D2', 'D', 'L', 'Di', 'U2', 'yi', 'L', 'Fi', 'Li', ' | ', 'U2', 'Ri', 'U2', 'R', 'y', 'Ri', 'Ui', 'R', ' | ', 'R', 'Ui', 'Ri', 'F', 'U', 'Fi', ' | ', 'U2', 'yi', 'Li', 'U', 'L', 'U', 'Ri', 'U', 'R', ' | ', 'U', 'F', 'U', 'Fi', 'Ui', 'F', 'U', 'Fi', ' | ', ' | ', 'Ui', 'F', 'U', 'Fi', 'Ui', 'Fi', 'L', 'F', 'Li', ' | ', 'Ui', 'M', 'U', 'Mi', 'U2', 'M', 'U', 'Mi']
[' | ', 'R2', 'L', 'D', 'Li', 'Di', 'L', ' | ', 'Ui', 'L', 'Ui', 'Li', ' | ', 'R', 'U2', 'Ri', 'U', 'R', 'U', 'Ri', ' | ', 'U2', 'F', 'U', 'Fi', 'U2', 'F', 'Ui', 'Fi', ' | ', ' | ', 'F', 'U2', 'Fi', 'L', 'Fi', 'Li', 'F', 'Ui', 'F', 'Ui', 'Fi', ' | ', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'Ui', 'Mi', 'U2']
[' | ', 'L', 'D2', 'y', 'R', 'D2', 'U2', 'L', 'Fi', 'Li', 'y', 'R', 'D', 'Ri', 'Di', 'U2', 'F', 'Ri', 'Fi', ' | ', 'U', 'Li', 'Ui', 'L', 'Ui', 'y', 'Ri', 'U', 'R', ' | ', 'U', 'Fi', 'Ui', 'F', 'U', 'F', 'U', 'Fi', ' | ', 'Fi', 'U2', 'F', 'Ui', 'Fi', 'U', 'F', ' | ', 'L', 'U2', 'Li', 'U', 'L', 'U', 'Li', ' | ', ' | ', 'U', 'R', 'U2', 'Ri', 'Ui', 'R', 'Ui', 'Ri', ' | ', 'Mi', 'Ui', 'Mi', 'U2', 'Mi', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'U', 'M2', 'Ui']
[' | ', 'L', 'D2', 'yi', 'L', 'D2', 'D2', 'Fi', 'D2', 'D', 'F', 'Di', 'F', 'Di', 'L', 'D', ' | ', 'Ui', 'L', 'U', 'Li', 'Fi', 'Ui', 'F', ' | ', 'Ui', 'Li', 'U', 'L', ' | ', 'y', 'R', 'U', 'Ri', 'Fi', 'Ui', 'F', ' | ', 'U2', 'y', 'R', 'Ui', 'Ri', ' | ', ' | ', 'U', 'F', 'Ri', 'Fi', 'R', 'U', 'R', 'Ui', 'Ri', ' | ']
[' | ', 'F', 'Di', 'L', 'D', 'L', 'D2', 'Li', 'D2', 'D2', 'F', 'D2', 'D2', 'Ri', 'D2', ' | ', 'U2', 'Li', 'Ui', 'L', 'Fi', 'Ui', 'F', ' | ', 'U', 'F', 'Ui', 'Fi', 'U2', 'Ri', 'Ui', 'R', ' | ', 'L', 'U', 'Li', ' | ', 'U', 'F', 'U2', 'Fi', 'U', 'Li', 'Ui', 'L', ' | ', ' | ', 'Ri', 'U2', 'Ri', 'Di', 'R', 'U2', 'Ri', 'D', 'R2', ' | ', 'U', 'L', 'U', 'L', 'Fi', 'Li', 'F', 'Ui', 'Li', 'Ri', 'Ui', 'Ri', 'F', 'R', 'Fi', 'U', 'R', 'U2']
[' | ', 'U', 'F2', 'L', 'D', 'yi', 'L', 'Di', 'F', 'D', 'Fi', 'Di', 'D2', 'y', 'Ri', 'D2', ' | ', 'U', 'F', 'U2', 'Fi', 'Ui', 'L', 'Ui', 'Li', ' | ', 'U2', 'yi', 'L', 'Ui', 'Li', 'Ui', 'Fi', 'Ui', 'F', ' | ', 'U', 'yi', 'Li', 'Ui', 'L', 'U2', 'F', 'U', 'Fi', ' | ', ' | ', 'U2', 'F2', 'D', 'Fi', 'U2', 'F', 'Di', 'Fi', 'U2', 'Fi', ' | ']
[' | ', 'U', 'L', 'Fi', 'Li', 'R', 'U', 'yi', 'L2', 'L', 'Fi', 'Li', ' | ', 'U', 'yi', 'L', 'Ui', 'Li', ' | ', 'U2', 'Fi', 'U', 'F', ' | ', 'Ui', 'Ri', 'U', 'R', 'U', 'yi', 'L', 'Ui', 'Li', ' | ', 'U', 'Fi', 'U2', 'F', 'Ui', 'Fi', 'U', 'F', ' | ', ' | ', 'U', 'y', 'R', 'U2', 'Ri', 'Ui', 'R', 'Ui', 'Ri', ' | ']
[' | ', 'U', 'F2', 'Ri', 'U2', 'R', 'y', 'Ri', 'Fi', 'D', 'L', 'Di', ' | ', 'U', 'yi', 'Li', 'Ui', 'L', 'U', 'F', 'U', 'Fi', ' | ', 'U', 'Ri', 'Ui', 'R', 'U2', 'Fi', 'Ui', 'F', ' | ', 'Ui', 'Ri', 'U2', 'R', 'Ui', 'yi', 'L', 'U', 'Li', ' | ', 'F', 'U', 'Fi', 'U2', 'Li', 'U', 'L', ' | ', ' | ', 'U', 'R', 'y', 'R', 'Ui', 'Ri', 'Ui', 'R', 'U', 'Ri', 'Fi', ' | ', 'U', 'R', 'U', 'Ri', 'Ui', 'Mi', 'U', 'R', 'Ui', 'Ri', 'M', 'Ui']
[' | ', 'R2', 'U2', 'L2', ' | ', 'U', 'y', 'Ri', 'U2', 'R', 'U', 'Ri', 'Ui', 'R', ' | ', 'U', 'Fi', 'Ui', 'F', 'U2', 'Fi', 'U', 'F', ' | ', 'Ui', 'yi', 'Li', 'U2', 'L', 'U2', 'Li', 'U', 'L', ' | ', 'U', 'Fi', 'Ui', 'F', 'Ui', 'Fi', 'U', 'F', ' | ', ' | ', 'U', 'R', 'y', 'Ri', 'Fi', 'R', 'U2', 'R', 'Ui', 'Ri', 'U', 'R', 'U2', 'Ri', ' | ', 'Ui', 'Mi', 'U', 'M', 'U', 'Mi', 'U2', 'Mi', 'U', 'Mi', 'U', 'M', 'U', 'Mi', 'U', 'Mi']
[' | ', 'R', 'F', 'y', 'R', 'D', 'Ri', 'Di', 'F', 'Ri', 'Fi', 'yi', 'L', ' | ', 'Ui', 'Ri', 'U', 'R', 'Ui', 'F', 'Ui', 'Fi', ' | ', 'L', 'Ui', 'Li', 'U2', 'Ri', 'Ui', 'R', ' | ', 'U', 'L', 'U', 'Li', 'R', 'Ui', 'Ri', ' | ', 'yi', 'Li', 'U', 'L', 'U2', 'F', 'U', 'Fi', ' | ', ' | ', 'U', 'Li', 'Ui', 'L', 'U', 'L', 'Fi', 'Li', 'F', ' | ', 'M2', 'U', 'M', 'Ui', 'Mi', 'Ui', 'Mi', 'U', 'Mi', 'U', 'Mi', 'Ui', 'M', 'U2']
[' | ', 'D2', 'yi', 'Li', 'D2', 'Di', 'Ri', 'D', 'F', 'L', 'D', 'Ri', 'Di', ' | ', 'U2', 'Ri', 'Ui', 'R', ' | ', 'Ui', 'Li', 'U', 'L', 'U', 'Fi', 'Ui', 'F', ' | ', 'F', 'U2', 'Fi', 'U2', 'yi', 'Li', 'Ui', 'L', ' | ', 'R', 'Ui', 'Ri', 'Ui', 'R', 'Ui', 'Ri', 'U', 'Fi', 'Ui', 'F', ' | ', ' | ', 'L', 'Ui', 'Ri', 'U', 'Li', 'U', 'R', 'U', 'Ri', 'U', 'R', ' | ', 'L', 'U', 'Li', 'Ui', 'Mi', 'U', 'L', 'Ui', 'Li', 'M', 'U']
[' | ', 'Di', 'L', 'D', 'R', 'Di', 'F', 'D', 'Ui', 'R', 'y', 'Ri', 'Fi', 'R', 'y', 'Ri', 'Fi', ' | ', 'Ui', 'R', 'U', 'Ri', 'U', 'yi', 'L', 'Ui', 'Li', ' | ', 'U', 'Li', 'U2', 'L', 'U', 'Ri', 'U', 'R', ' | ', 'Ui', 'R', 'U', 'Ri', 'Li', 'Ui', 'L', ' | ', 'R', 'Ui', 'Ri', 'U2', 'Fi', 'Ui', 'F', ' | ', ' | ', 'U', 'yi', 'L', 'Fi', 'Li', 'F', 'U', 'F', 'Ui', 'Fi', ' | ', 'Ui', 'F', 'R', 'U', 'Ri', 'Ui', 'Fi', 'Ri', 'Ui', 'Ri', 'F', 'R', 'Fi', 'U', 'R', 'U2']
[' | ', 'D', 'Ri', 'Di', 'L', 'D', 'yi', 'L', 'Di', 'Li', 'L', 'Fi', 'Li', ' | ', 'yi', 'Li', 'U2', 'L', 'U', 'Ri', 'U', 'R', ' | ', 'Fi', 'Ui', 'F', ' | ', 'U2', 'yi', 'Li', 'U', 'L', 'U2', 'Fi', 'Ui', 'F', ' | ', 'U2', 'Li', 'U', 'L', 'F', 'U', 'Fi', ' | ', ' | ', 'U', 'y', 'R', 'U2', 'R2', 'F', 'R', 'Fi', 'U2', 'Ri', 'F', 'R', 'Fi', ' | ', 'U2', 'yi', 'L', 'F', 'U', 'Fi', 'Ui', 'Li', 'Fi', 'Ui', 'Fi', 'L', 'F', 'Li', 'U', 'F', 'Ui']
[' | ', 'D2', 'y', 'Ri', 'D2', 'R', 'D', 'Ri', 'Di', 'Ui', 'F', 'Ri', 'Fi', 'D2', 'Fi', 'D2', ' | ', 'Ui', 'Ri', 'U', 'R', 'U', 'Li', 'Ui', 'L', ' | ', 'U', 'yi', 'L', 'U2', 'Li', 'U', 'L', 'Ui', 'Li', ' | ', 'Ui', 'Li', 'Ui', 'L', 'U', 'F', 'U', 'Fi', ' | ', 'y', 'R', 'Ui', 'Ri', 'U2', 'Fi', 'Ui', 'F', ' | ', ' | ', 'U', 'U2', 'Fi', 'L', 'Ui', 'F', 'L', 'Fi', 'U', 'F', 'Li', ' | ']
[' | ', 'F', 'D2', 'Li', 'D2', 'y', 'R2', 'D2', 'F', 'D2', ' | ', 'Li', 'U', 'L', 'L', 'Ui', 'Li', ' | ', 'Ri', 'Ui', 'R', 'U', 'Fi', 'U', 'F', ' | ', 'U', 'Ri', 'U2', 'R', 'U2', 'Ri', 'U', 'R', ' | ', 'U', 'Li', 'U2', 'L', 'Ui', 'Li', 'Ui', 'L', ' | ', ' | ', 'R', 'U2', 'Ri', 'F', 'Ri', 'Fi', 'R', 'Ui', 'R', 'Ui', 'Ri', ' | ', 'U2', 'Mi', 'Ui', 'Mi', 'U2', 'M', 'Ui', 'M2', 'Ui', 'Mi']
[' | ', 'Ui', 'F2', 'y', 'R', 'F', 'U2', 'F', 'Ri', 'Fi', 'Ui', 'y', 'R2', ' | ', 'Fi', 'Ui', 'F', 'Ui', 'y', 'Ri', 'Ui', 'R', ' | ', 'Li', 'Ui', 'L', 'Fi', 'Ui', 'F', ' | ', 'Ui', 'L', 'U2', 'Li', 'U', 'F', 'U', 'Fi', ' | ', 'U', 'yi', 'Li', 'U2', 'L', 'Ui', 'F', 'U', 'Fi', ' | ', ' | ', 'R', 'Ui', 'Li', 'U', 'Ri', 'U', 'L', 'U', 'Li', 'U', 'L', ' | ', 'Ui', 'L', 'U', 'Li', 'Ui', 'Mi', 'U', 'L', 'Ui', 'Li', 'M']
[' | ', 'Ui', 'F2', 'L', 'D', 'Li', 'Di', 'U2', 'yi', 'L', 'Fi', 'Li', ' | ', 'U', 'Li', 'U2', 'L', 'y', 'Ri', 'U', 'R', ' | ', 'U2', 'L', 'U', 'Li', ' | ', 'Fi', 'U2', 'F', 'Li', 'U', 'L', ' | ', 'Ui', 'R', 'U2', 'Ri', 'Ui', 'R', 'U', 'Ri', ' | ', ' | ', 'U2', 'L', 'U', 'Li', 'U', 'Li', 'yi', 'L', 'F', 'Li', 'F', 'U2', 'Fi', ' | ', 'Ui', 'Mi', 'U', 'Mi', 'U2', 'M', 'U', 'M2', 'U', 'Mi', 'Ui']
[' | ', 'U', 'L', 'Fi', 'Li', 'y', 'R', 'D', 'Ri', 'Di', 'R', 'Di', 'Ri', 'D', ' | ', 'Ui', 'Fi', 'Ui', 'F', 'U', 'L', 'U', 'Li', ' | ', 'U', 'Fi', 'U2', 'F', 'U2', 'Fi', 'U', 'F', ' | ', 'Ui', 'yi', 'L', 'U2', 'Li', 'Ui', 'Fi', 'U', 'F', ' | ', 'U', 'y', 'Ri', 'Ui', 'R', 'U2', 'Ri', 'U', 'R', ' | ', ' | ', 'Ui', 'L', 'F2', 'D', 'Fi', 'U', 'F', 'Di', 'F2', 'Ui', 'Li', ' | ']
[' | ', 'L', 'Di', 'Li', 'D', 'Di', 'F', 'D', 'L', 'y', 'R', 'D2', 'F', 'D2', ' | ', 'U', 'Fi', 'U2', 'F', 'U', 'L', 'U', 'Li', ' | ', 'U', 'Li', 'U', 'L', 'y', 'R', 'U', 'Ri', ' | ', 'U2', 'F', 'U', 'Fi', ' | ', 'R', 'U', 'Ri', 'U', 'R', 'U2', 'Ri', 'Ui', 'y', 'Ri', 'U', 'R', ' | ', ' | ', 'Fi', 'Ui', 'F', 'Ui', 'Fi', 'U2', 'F2', 'U', 'Fi', 'U', 'F', 'U2', 'Fi', ' | ', 'F', 'U', 'F', 'Ri', 'Fi', 'R', 'Ui', 'Fi', 'y', 'Ri', 'Ui', 'Ri', 'F', 'R', 'Fi', 'U', 'R', 'Ui']
[' | ', 'Di', 'Li', 'D', 'Ri', 'Di', 'R', 'D', 'Di', 'yi', 'L', 'D', ' | ', 'Fi', 'U2', 'F', 'Ui', 'Fi', 'U', 'F', ' | ', 'U2', 'F', 'U2', 'Fi', 'U', 'Li', 'Ui', 'L', ' | ', 'U2', 'Ri', 'Ui', 'R', 'Ui', 'yi', 'L', 'U', 'Li', ' | ', 'Ui', 'F', 'Ui', 'Fi', 'Ui', 'Li', 'U', 'L', ' | ', ' | ', 'y', 'R', 'U2', 'Ri', 'F', 'Ri', 'Fi', 'R', 'Ui', 'R', 'Ui', 'Ri', ' | ']
[' | ', 'Ui', 'L', 'Fi', 'Li', 'U', 'R2', 'Ui', 'yi', 'L2', 'Fi', ' | ', 'U2', 'Fi', 'U', 'F', 'U', 'Ri', 'U', 'R', ' | ', 'Fi', 'U', 'F', 'Ui', 'F', 'U', 'Fi', ' | ', 'U2', 'L', 'Ui', 'Li', 'Ui', 'Fi', 'Ui', 'F', ' | ', 'Ui', 'yi', 'Li', 'Ui', 'L', 'Ui', 'F', 'U', 'Fi', ' | ', ' | ', 'y', 'R', 'U2', 'Ri', 'F', 'Ri', 'Fi', 'R', 'Ui', 'R', 'Ui', 'Ri', ' | ', 'U2', 'y', 'Ri', 'Ui', 'Ri', 'F', 'R', 'Fi', 'U', 'R', 'F', 'R', 'U', 'Ri', 'Ui', 'Fi']
[' | ', 'L', 'Di', 'Li', 'D', 'U2', 'F', 'Ri', 'Fi', 'yi', 'L', 'L', 'Fi', 'Li', ' | ', 'Fi', 'U', 'F', 'U2', 'Ri', 'Ui', 'R', ' | ', 'y', 'Ri', 'U', 'R', ' | ', 'U', 'F', 'U2', 'Fi', 'Ui', 'L', 'U', 'Li', ' | ', 'Li', 'U2', 'L', 'Ui', 'F', 'U', 'Fi', ' | ', ' | ', 'L2', 'Di', 'L', 'U2', 'Li', 'D', 'L', 'U2', 'L', ' | ', 'U', 'Mi', 'Ui', 'M', 'U', 'Mi', 'Ui', 'M', 'Ui', 'Mi', 'U2', 'M']
[' | ', 'Di', 'L', 'D', 'y', 'R', 'F', 'R', 'Di', 'F', 'D', 'Di', 'R', 'D', ' | ', 'Fi', 'U', 'F', 'L', 'U', 'Li', ' | ', 'Ri', 'U2', 'R', 'R', 'U', 'Ri', ' | ', 'Ui', 'F', 'U', 'Fi', 'U2', 'Ri', 'Ui', 'R', ' | ', 'Li', 'U', 'L', ' | ', ' | ', 'yi', 'Li', 'F', 'D2', 'Fi', 'L', 'U2', 'Li', 'F', 'D2', 'Fi', 'L', ' | ']
[' | ', 'Ui', 'yi', 'L2', 'U2', 'F2', ' | ', 'Ui', 'Fi', 'Ui', 'F', 'U', 'Fi', 'Ui', 'F', ' | ', 'Li', 'U', 'L', 'U', 'yi', 'L', 'Ui', 'Li', 'U2', 'L', 'U', 'Li', ' | ', 'U2', 'Fi', 'U', 'F', 'R', 'U', 'Ri', ' | ', 'U', 'Li', 'U', 'L', 'Ui', 'F', 'Ui', 'Fi', ' | ', ' | ', 'R', 'U2', 'Ri', 'Ui', 'R', 'U', 'Ri', 'Ui', 'R', 'Ui', 'Ri', ' | ', 'Mi', 'Ui', 'Mi', 'U2', 'Mi', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'U', 'M2', 'Ui']
